SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
All Saints,1435 Royal York Road,Toronto,M9P 3A7,M9P
Annunciation,65 Avonwick Gate,Toronto,M3A 2M8,M3A
St Agatha,49 Cathedral Bluffs Drive,Scarborough,M1M 2T6,M1M
St Agnes,280 Otonabee Avenue,Willowdale,M2M 2T2,M2M
St Aidan,3521 Finch Avenue East,Agincourt,M1W 2S2,M1W
St Albert,1125 Midland Avenue,Scarborough,M1K 4H2,M1K
St Alphonsus,60 Atlas Avenue,Toronto,M6C 3N9,M6C
St Ambrose,20 Coules Court,Etobicoke,M8W 2N9,M8W
St Andre,36 Yvonne Avenue,Toronto,M3L 1C9,M3L
St Andrew,2533 Kipling Avenue,Etobicoke,M9V 3A8,M9V
St Angela,220 Mount Olive Drive,Rexdale,M9V 3Z5,M9V
St Anselm,182 Bessborough Drive ,East York,M4G 3J9,M4G
St Anthony,130 Shanly Street,Toronto,M6H 1L9,M6H
St Antoine Daniel,160 Finch Avenue West,Toronto,M2N 2J2,M2N
St Augustine,98 Shoreham Drive,Toronto,M3N 1S9,M3N
Bishop Allen Academy,721 Royal York Road,Toronto,M8Y 2T3,M8Y
Bishop Macdonell,20 Brunel Court,Toronto,M5V 3Y2,M5V
Bishop Marrocco/Thomas Merton,1515 Bloor Street West,Toronto,M6P 1A3,M6P
Blessed Cardinal Newman,100 Brimley Road South,Toronto,M1M 3X4,M1M
Blessed Margherita,108 Spenvalley Drive,Toronto,M3L 1Z5,M3L
Blessed Pier Giorgio Frassati,8 Seasons Drive,Scarborough,M1X 1X4,M1X
Blessed Sacrament,24 Bedford Park Avenue,Toronto,M5M 1H9,M5M
Blessed Trinity,3205 Bayview Avenue,Toronto,M2K 1G3,M2K
Brebeuf,211 Steeles Avenue East,Toronto,M2M 3Y6,M2M
St Barbara,25 Janray Drive,Scarborough,M1G 1Y2,M1G
St Barnabas,30 Washburn Way,Scarborough,M1B 1H3,M1B
St Bartholomew,51 Heather Road,Toronto,M1S 2E2,M1S
St Basil-The-Great,20 Starview Lane,Toronto,M9M 3B2,M9M
St Bede,521 Sewells Road,Scarborough,M1B 5H3,M1B
St Benedict,2202 Kipling Avenue,Toronto,M9W 4K9,M9W
St Bernard,12 Duckworth Street,Toronto,M6M 4W4,M6M
St Bonaventure,1340 Leslie Street,Toronto,M3C 2K9,M3C
St Boniface,20 Markanna Drive,Scarborough,M1M 2J1,M1M
St Brendan,186 Centennial Road,Toronto,M1C 1Z9,M1C
St Brigid,50 Woodmount Avenue,Toronto,M4C 3X9,M4C
St Bruno/St Raymond,402 Melita Crescent,Toronto,M6G 3X6,M6G
Canadian Martyrs,520 Plains Road,Toronto,M4C 2Z1,M4C
Cardinal Carter Academy,36 Greenfield Avenue,Toronto,M2N 3C8,M2N
Cardinal Leger,600 Morrish Road,Toronto,M1C 4Y1,M1C
Chaminade College,490 Queen's Drive,Toronto,M6L 1M8,M6L
St Catherine,30 Roanoke Road,Toronto,M3A 1E9,M3A
St Cecilia,355 Annette Street,Toronto,M6P 1R3,M6P
St Charles,50 Claver Avenue,Toronto,M6B 2W1,M6B
St Charles Garnier,20 Stong Court,Toronto,M3N 2X9,M3N
St Clare,124 Northcliffe Boulevard,Toronto,M6E 3K4,M6E
St Clement,4319 Bloor Street West,Etobicoke,M9C 2A2,M9C
St Columba,10 John Tabor Trail,Scarborough,M1B 1M9,M1B
St Conrad,5 Exbury Road,Toronto,M3M 0A8,M3M
St Cyril,18 Kempford Boulevard,Toronto,M2N 2B9,M2N
Sts Cosmas and Damian,111 Danesbury Avenue,Toronto,M6B 3L3,M6B
D'Arcy McGee,20 Bansley Avenue,Toronto,M6E 2A2,M6E
Dante Alighieri,60 Playfair Avenue,Toronto,M6B 2P9,M6B
St Demetrius,125 La Rose Avenue,Toronto,M9P 1A6,M9P
St Denis,67 Balsam Avenue,Toronto,M4E 3B8,M4E
St Dominic Savio,50 Tideswell Blvd.,Scarborough,M1B 5X3,M1B
St Dorothy,155 John Garland Blvd,Toronto,M9V 1N7,M9V
St Dunstan,14 Pharmacy Avenue,Scarborough,M1L 3E4,M1L
Epiphany of our Lord,3150 Pharmacy Avenue,Toronto,M1W 1J5,M1W
St Edmund Campion,30 Highcastle Road West Hill,Toronto,M1E 4N1,M1E
St Edward,1 Botham Road,Toronto,M2N 2J6,M2N
St Elizabeth,5 Redcar Avenue,Toronto,M9B 1J8,M9B
St Elizabeth Seton,25 Havenview Road,Scarborough,M1S 3A4,M1S
St Eugene,30 WestRoyal Road,Toronto,M9P 2C3,M9P
Father Serra,111 Sun Row Drive,Toronto,M9P 3J3,M9P
Fr Henry Carr,1760 Martin Grove,Toronto,M9V 3S4,M9V
Fr John Redmond,28 Colonel Samuel Smith Park Dr.,Etobicoke,M8V 4B7,M8V
Francis Libermann,4640 Finch Avenue East,Scarborough,M1S 4G2,M1S
St Fidelis,9 Bannerman Street,Toronto,M6L 2S5,M6L
St Florence,101 Murison Boulevard,Scarborough,M1B 2L6,M1B
St Francis Assisi,80 Clinton Street,Toronto,M6G 2Y3,M6G
St Francis de Sales,333 Firgrove Crescent,Toronto,M3N 1K9,M3N
St Francis Xavier,53 Gracefield Avenue,Toronto,M6L 1L3,M6L
St Gabriel,396 Spring Garden Avenue,Toronto,M2N 3H5,M2N
St Gabriel Lalemant,160 Crow Trail,Scarborough,M1B 1Y3,M1B
St Gerald,200 Old Sheppard Avenue,Toronto,M2J 3L9,M2J
St Gregory,126 Rathburn Road,Toronto,M9B 2K6,M9B
Holy Angels,65 Jutland Road,Toronto,M8Z 2G6,M8Z
Holy Child,850 Humberwood Blvd,Toronto,M9W 7A6,M9W
Holy Cross,299A Donlands Avenue,Toronto,M4J 3R7,M4J
Holy Family,141 Close Avenue,Toronto,M6K 2V6,M6K
