SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Cliffwood,140 Cliffwood Road,North York,M2H 2E4,M2H
Cedarvale Community School,145 Ava Road,York,M6C 1W4,M6C
Greenland,15 Greenland Road,North York,M3C 1N1,M3C
C R Marchant,1 Ralph Street,York,M9N 3A8,M9N
White Haven,105 Invergordon Avenue,Agincourt,M1S 2Z1,M1S
Wexford,1050 Pharmacy Avenue,Scarborough,M1R 2H1,M1R
Seventh Street,101 Seventh Street,Etobicoke,M8V 3B5,M8V
Norseman,105 Norseman Street,Etobicoke,M8Z 2R1,M8Z
Scarborough Village,15 Luella Street,Scarborough,M1J 3P2,M1J
Winchester,15 Prospect Street,Toronto,M4X 1C7,M4X
Lillian,1059 Lillian Street,North York,M2M 3G1,M2M
King Edward,112 Lippincott Street,Toronto,M5S 2P1,M5S
Orde Street,18 Orde Street,Toronto,M5T 1N7,M5T
Brimwood Boulevard,151 Brimwood Boulevard,Agincourt,M1V 1E5,M1V
Burrows Hall,151 Burrows Hall Boulevard,Agincourt,M1B 1M5,M1B
Charles E Webster,1900 Keele Street,York,M6M 3X7,M6M
Timberbank,170 Timberbank Boulevard,Agincourt,M1W 2A3,M1W
Glen Park,101 Englemount Avenue,North York,M6B 4L5,M6B
ALPHA Alternative,20 Brant Street,Toronto,M5V 2M1,M5V
Chief Dan George,185 Generation Boulevard,Scarborough,M1B 2K5,M1B
Kew Beach,101 Kippendavie Avenue,Toronto,M4L 3R3,M4L
Eastview,20 Waldock Street,West Hill,M1E 2E5,M1E
Birch Cliff Heights,120 Highview Avenue,Scarborough,M1N 2J1,M1N
Terry Fox,185 Wintermute Boulevard,Agincourt,M1W 3M9,M1W
Pierre Laporte,1270 Wilson Avenue,North York,M3M 1H5,M3M
Weston Memorial,200 John Street,York,M9N 1K2,M9N
William G Davis,128 East Avenue,West Hill,M1C 3L6,M1C
George R Gauld,200 Melrose Street,Etobicoke,M8Y 1B7,M8Y
Gracedale,186 Gracedale Boulevard,North York,M9L 2C1,M9L
Fern Avenue,128 Fern Avenue,Toronto,M6R 1K3,M6R
Niagara Street,222 Niagara Street,Toronto,M6J 2L3,M6J
George Webster Elementary School,2 Cedarcrest Boulevard,East York,M4B 2N9,M4B
Fairbank,2335 Dufferin Street,York,M6E 3S5,M6E
Anson S Taylor,20 Placentia Boulevard,Agincourt,M1S 4C5,M1S
Lynngate,129 Cass Avenue,Agincourt,M1T 2B5,M1T
Danforth Gardens,20 Santamonica Boulevard,Scarborough,M1L 4H4,M1L
John Ross Robertson,130 Glengrove Avenue West,Toronto,M4R 1P2,M4R
Leslieville,254 Leslie Street,Toronto,M4M 3C9,M4M
Annette Street,265 Annette Street,Toronto,M6P 1R3,M6P
Chester Le,201 Chester Le Boulevard,Agincourt,M1W 2K7,M1W
Maryvale,1325 Pharmacy Avenue,Scarborough,M1R 2J1,M1R
High Park Alternative,265 Annette Street,Toronto,M6P 1R3,M6P
Silver Springs,222 Silver Springs Boulevard,Agincourt,M1V 1S4,M1V
Balmy Beach Community School,14 Pine Avenue,Toronto,M4E 1L6,M4E
Lucy McCormick Senior School,2717 Dundas Street West,Toronto,M6P 1Y1,M6P
Brookmill Boulevard,25 Brookmill Boulevard,Agincourt,M1W 2L5,M1W
Charles Gordon Senior,25 Marcos Boulevard,Scarborough,M1K 5A7,M1K
Downsview,2829 Keele Street,North York,M3M 2G7,M3M
Perth Avenue,14 Ruskin Avenue,Toronto,M6P 3P8,M6P
Iroquois,265 Chartland Boulevard South,Agincourt,M1S 2S6,M1S
Sheppard,1430 Sheppard Avenue West,North York,M3M 2W9,M3M
Gosford,30 Gosford Boulevard,North York,M3N 2G8,M3N
Baycrest,145 Baycrest Avenue,North York,M6A 1W4,M6A
H J Alexander Community School,30 King Street,York,M9N 1K9,M9N
Howard,30 Marmaduke Street,Toronto,M6R 1T2,M6R
Victoria Park Elementary School,145 Tiago Avenue,East York,M4B 2A6,M4B
Lord Dufferin,350 Parliament Street,Toronto,M5A 2Z7,M5A
Armour Heights,148 Wilson Avenue,North York,M5M 3A5,M5M
Humewood Community School,15 Cherrywood Avenue,York,M6C 2X4,M6C
Downtown Alternative School,85 Lower Jarvis Street,Toronto,M5E 1R8,M5E
Earl Haig,15 Earl Haig Avenue,Toronto,M4C 1E2,M4C
Shaughnessy,30 Shaughnessy Boulevard,North York,M2J 1H5,M2J
North Bendale,29 Aveline Crescent,Scarborough,M1H 2P4,M1H
James S Bell Middle Sports and Wellness Academy,90 Thirty First Street,Etobicoke,M8W 3E9,M8W
Anson Park,30 MacDuff Crescent,Scarborough,M1M 1X5,M1M
Twentieth Street,3190 Lake Shore Boulevard West,Etobicoke,M8V 1L8,M8V
Brock,93 Margueretta Street,Toronto,M6H 3S4,M6H
Lamberton,33 Lamberton Boulevard,North York,M3J 1G6,M3J
Pauline Johnson,35 Dunmurray Boulevard,Agincourt,M1T 2K2,M1T
Dundas,935 Dundas Street East,Toronto,M4M 1R4,M4M
Blacksmith,45 Blacksmith Crescent,North York,M3N 1V5,M3N
Percy Williams,35 White Heather Boulevard,Agincourt,M1V 1P6,M1V
First Nations and Senior School of Toronto,935 Dundas Street East,Toronto,M4M 1R4,M4M
Lambton Park Community School,50 Bernice Crescent,York,M6N 1W9,M6N
Glamorgan,51 Antrim Crescent,Scarborough,M1P 4N4,M1P
Ledbury Park Elementary and,95 Falkirk Street,North York,M5M 4K1,M5M
Cherokee,390 Cherokee Boulevard,North York,M2H 2W7,M2H
Rockcliffe,400 Rockcliffe Boulevard,York,M6N 4R8,M6N
Elizabeth Simcoe,166 Sylvan Avenue,Scarborough,M1E 1A3,M1E
Ranchdale,60 Ranchdale Crescent,North York,M3A 2M3,M3A
Roselands,990 Jane Street,York,M6N 4E2,M6N
Dennis Avenue Community School,17 Dennis Avenue,York,M6N 2T7,M6N
Cassandra,45 Cassandra Boulevard,North York,M3A 1S5,M3A
Winona Drive Senior,101 Winona Drive,Toronto,M6G 3S8,M6G
St George's,70 Princess Anne Crescent,Etobicoke,M9A 2P7,M9A
Avondale Alternative Elementary School,171 Avondale Avenue,North York,M2N 2V4,M2N
Steelesview,105 Bestview Drive,North York,M2M 2Y1,M2M
North Bridlewood,50 Collingsbrook Boulevard,Agincourt,M1W 1L7,M1W
Denlow,50 Denlow Boulevard,North York,M3B 1P7,M3B
Joyce,26 Joyce Parkway,North York,M6B 2S9,M6B
Glen Ravine,11 Gadsby Drive,Scarborough,M1K 4V4,M1K
Gateway,55 Gateway Boulevard,North York,M3C 1B4,M3C
Cordella,175 Cordella Avenue,York,M6N 2K1,M6N
Roywood,11 Roywood Drive,North York,M3A 2C7,M3A
Jack Miner Senior,405 Guildwood Parkway,West Hill,M1E 1R3,M1E
Bridlewood,60 Bridlewood Boulevard,Agincourt,M1T 1P7,M1T
Gracefield,177 Gracefield Avenue,North York,M6L 1L7,M6L
William Tredway,112 Sedgemount Drive,Scarborough,M1H 1X9,M1H
Morse Street,180 Carlaw Avenue,Toronto,M4M 2R9,M4M
McMurrich,115 Winona Drive,Toronto,M6G 3S8,M6G
Morrish,61 Canmore Boulevard,Scarborough,M1C 3T7,M1C
Queen Alexandra,181 Broadview Avenue,Toronto,M4M 2G3,M4M
Elkhorn,10 Elkhorn Drive,North York,M2K 1J3,M2K
Beverly Glen,85 Beverly Glen Boulevard,Agincourt,M1W 1W4,M1W
Park Lane,60 Park Lane Circle,North York,M3C 2N2,M3C
Charlottetown,85 Charlottetown Boulevard,West Hill,M1C 2C7,M1C
Churchill,188 Churchill Avenue,North York,M2N 1Z5,M2N
Elmbank Middle Academy,10 Pittsboro Drive,Etobicoke,M9V 3R4,M9V
The Waterfront School,635 Queens Quay West,Toronto,M5V 3G3,M5V
Brooks Road,85 Keeler Boulevard,West Hill,M1E 4K6,M1E
Gledhill,2 Gledhill Avenue,Toronto,M4C 5K6,M4C
