Index,AreaName,Price ($),lat,lng,Address,City
1301,Midtown Toronto,549000,43.672318,-79.388817,#307 - 21 SCOLLARD ST,Toronto
1302,Downtown,398900,43.656807,-79.375092,#3604 - 159 DUNDAS ST E,Toronto
1303,Niagara,309900,43.63715,-79.400604,#1211 - 15 BRUYERES MEWS,Toronto
1304,Old Town,254900,43.653126,-79.369339,#807 - 311 RICHMOND ST E,Toronto
1305,Downtown,449900,43.651878,-79.375999,#2505 - 50 LOMBARD ST,Toronto
1306,Downtown,999999,43.654991,-79.363922,161 PARLIAMENT ST,Toronto
1307,Downtown,329900,43.660149,-79.360886,#1304 - 170 SUMACH ST,Toronto
1308,Toronto,245000,43.640335,-79.424477,#1619 - 38 JOE SHUSTER WAY,Toronto
1309,Downtown,798000,43.650143,-79.371605,#609 - 39 JARVIS ST,Toronto
1310,Midtown Toronto,549000,43.687836,-79.413376,#506 - 60 MONTCLAIR AVE,Toronto
1311,Downtown,149713,43.65094,-79.381958,#0103 - 67 RICHMOND ST W,Toronto
1312,Downtown,3749000,43.659191,-79.36776,396 -400 DUNDAS ST,Toronto
1313,Downtown,569800,43.660103,-79.385086,#3511 - 763 BAY ST,Toronto
1314,Upper Beaches,700000,43.680573,-79.291595,2 HANNAFORD ST,Toronto
1315,Toronto,229000,43.640335,-79.424477,#320 - 38 JOE SHUSTER WAY,Toronto
1316,Midtown Toronto,525000,43.675552,-79.377808,#112 - 30 ELM AVE,Toronto
1317,Riverdale,1650000,43.671024,-79.347015,616 LOGAN AVE,Toronto
1318,Downtown,499900,43.654587,-79.386658,#502 - 55 CENTRE AVE,Toronto
1319,Downtown,1519000,43.666897,-79.389038,#4001 - 65 ST MARY ST,Toronto
1320,Downtown,438000,43.638477,-79.397987,#3202 - 75 QUEENS WHARF RD,Toronto
1321,Downtown,59000,43.657394,-79.383034,#1 - 27 ELM ST,Toronto
1322,Downtown,99000,43.647537,-79.386871,214 KING ST W,Toronto
1323,Midtown Toronto,3800000,43.672955,-79.398491,66 TRANBY AVE,Toronto
1324,Niagara,394900,43.638512,-79.400894,#307 - 169 FORT YORK BLVD,Toronto
1325,Toronto,364000,43.640335,-79.424477,#1726 - 38 JOE SHUSTER WAY,Toronto
1326,Harwood,758888,43.670788,-79.476288,2170 ST CLAIR AVE W,Toronto
1327,Downtown,498000,43.665749,-79.385513,#1109 - 5 ST JOSEPH ST,Toronto
1328,Downtown,629900,43.645985,-79.389938,#1902 - 8 MERCER ST,Toronto
1329,Beach Hill,699000,43.674515,-79.319717,317 COXWELL AVE,Toronto
1330,Downtown,568800,43.648029,-79.374069,#305 - 55 FRONT ST E,Toronto
1331,Midtown Toronto,60000,43.711712,-79.399101,2481 A YONGE ST,Toronto
1332,Downtown,634900,43.661385,-79.380608,#1808 - 45 CARLTON ST,Toronto
1333,Downtown,535800,43.640224,-79.39595,#1049 - 10 CAPREOL CRT,Toronto
1334,Downtown,519900,43.642509,-79.377365,#1304 - 33 BAY ST,Toronto
1335,Toronto,299900,43.640209,-79.423943,1115 20 JOE SHUSTER Way,Toronto
1336,The Beach,1548000,43.678608,-79.288513,281 WILLOW AVE,Toronto
1337,Riverdale,379900,43.657913,-79.350067,#611 - 90 BROADVIEW AVE,Toronto
1338,Leslieville,849000,43.670635,-79.336945,135 GALT AVE,Toronto
1339,Downtown,459000,43.655113,-79.384804,#802 - 111 ELIZABETH ST,Toronto
1340,Downtown,412500,43.658798,-79.384392,#607 - 44 GERRARD ST W,Toronto
1341,Leslieville,1098000,43.66621,-79.333565,1447 DUNDAS ST E,Toronto
1342,Downtown,669000,43.638866,-79.398438,#4006 - 85 QUEENS WHARF RD,Toronto
1343,Downtown,485000,43.644783,-79.362793,#403 - 15 MERCHANTS WHARF,Toronto
1344,Downtown,979900,43.642273,-79.372704,#423 - 29 QUEENS QUAY E,Toronto
1345,Downtown,375000,43.663963,-79.383064,#1511 - 25 MAITLAND ST,Toronto
1346,Niagara,375000,43.637432,-79.401039,#523 - 20 BRUYERES MEWS,Toronto
1347,Midtown Toronto,1595000,43.671139,-79.395653,#602 - 4 LOWTHER AVE,Toronto
1348,Downtown,749000,43.665546,-79.387245,#3310 - 1001 BAY ST,Toronto
1349,Downtown,329000,43.640816,-79.395538,#501 - 25 CAPREOL CRT,Toronto
1350,Downtown,589900,43.647224,-79.391098,#2812 - 21 WIDMER ST,Toronto
1351,Downtown,339900,43.660149,-79.360886,#304 - 170 SUMACH ST E,Toronto
1352,Downtown,559900,43.641788,-79.381874,#905 - 14 YORK ST,Toronto
1353,Downtown,469900,43.641422,-79.39959,#605 - 550 FRONT ST W,Toronto
1354,Downtown,389000,43.655956,-79.37291,#604 - 220 GEORGE ST,Toronto
1355,Downtown,329000,43.665546,-79.387245,#316 - 1001 BAY ST,Toronto
1356,Regal Heights,1099000,43.676453,-79.432472,56 ALBERTA AVE,Toronto
1357,Niagara,559000,43.641579,-79.415901,#1043 - 1030 KING ST W,Toronto
1358,Midtown Toronto,1249000,43.72776,-79.389961,236 LAWRENCE AVE E,Toronto
1359,East Danforth,459900,43.685455,-79.313133,#907 - 2055 DANFORTH AVE,Toronto
1360,Downtown,468800,43.669151,-79.387375,#1402 - 21 BALMUTO ST,Toronto
1361,Niagara,329900,43.63673,-79.400505,#606 - 600 FLEET ST,Toronto
1362,Niagara,377399,43.641579,-79.415901,#235 - 1030 KING ST W,Toronto
1363,Downtown,429900,43.639889,-79.390404,#710 - 5 MARINER TERR,Toronto
1364,Downtown,278500,43.652489,-79.389626,#618 - 80 ST PATRICK ST,Toronto
1365,Leslieville,765000,43.666988,-79.327621,110 HILTZ AVE,Toronto
1366,Downtown,599999,43.649246,-79.375755,#502 - 22 LEADER LANE,Toronto
1367,Downtown,399000,43.664845,-79.385933,#304 - 24 WELLESLEY ST,Toronto
1368,Downtown,509000,43.653973,-79.388565,#1910 - 426 UNIVERSITY AVE,Toronto
1369,Downtown,498000,43.645985,-79.389938,#2401 - 8 MERCER ST,Toronto
1370,Niagara,379800,43.635681,-79.398674,#218 - 650 QUEENS QUAY,Toronto
1371,Downtown,675000,43.650082,-79.357971,#417 - 70 DISTILLERY LANE,Toronto
1372,Downtown,798880,43.669643,-79.380608,#4804 - 101 CHARLES ST E,Toronto
1373,Downtown,524900,43.648029,-79.374069,#808 - 55 FRONT ST E,Toronto
1374,Downtown,497000,43.667915,-79.375679,#703 - 500 SHERBOURNE ST,Toronto
1375,Downtown,435000,43.649055,-79.370361,#328 - 109 FRONT ST E,Toronto
1376,Downtown,315000,43.664265,-79.37545,#501 - 40 HOMEWOOD AVE,Toronto
1377,Downtown,439900,43.640526,-79.397102,#636 - 15 ICEBOAT TERR,Toronto
