Index,AreaName,Price ($),lat,lng,Address,City
3901,East Danforth,49900,43.682693,-79.325851,1475 Danforth Ave,Toronto
3902,Downtown,379880,43.647514,-79.3927,#2705 - 101 PETER ST,Toronto
3903,Woburn,419900,43.773827,-79.250023,#2308 - 88 Grangeway Ave,Toronto
3904,The Junction,49900,43.669209,-79.481644,2411 St Clair Ave,Toronto
3905,Cliffcrest,4500000,43.725761,-79.218529,25 Meadowcliffe Dr,Toronto
3906,Downtown,99000,43.6479,-79.382034,#58 - 77 KING ST W,Toronto
3907,Lansing,660000,43.760517,-79.411743,#2002 - 11 BOGERT AVE,Toronto
3908,Mimico,369000,43.62001,-79.483086,#104 - 2261 Lake Shore Blvd,Toronto
3909,Bathurst Manor,780000,43.753391,-79.448715,#Th2 - 784 Sheppard Ave,Toronto
3910,The Queensway,549900,43.624573,-79.511681,#202 - 51 Lady Bank Rd,Toronto
3911,Lawrence Heights,374900,43.714592,-79.452911,#1023 - 800 Lawrence Ave,Toronto
3912,York University Heights,730000,43.781918,-79.492439,#5 -6 - 2899 STEELES AVE W,Toronto
3913,Downtown,268888,43.650963,-79.397903,#261 - 222 SPADINA AVE,Toronto
3914,Downtown,578000,43.667324,-79.372574,#10 - 225 Wellesley St,Toronto
3915,Willowdale,449000,43.760181,-79.408218,#711 - 35 BALES AVE,Toronto
3916,Willowdale,339000,43.777355,-79.41275,#915 - 60 BYNG AVE,Toronto
3917,Willowdale,325000,43.773746,-79.415512,#1903 - 68 CANTERBURY PL,Toronto
3918,York University Heights,88000,43.768021,-79.476097,#4 - 1126 Finch Ave,Toronto
3919,Woburn,2500000,43.776733,-79.242828,1120 Bellamy Rd,Toronto
3920,Mississauga,400,43.596352,-79.583061,#2 nd Fl- 2217 THE QUEENSWAY WAY,Toronto
3921,Downtown,175000,43.655773,-79.358704,44 Sumach St,Toronto
3922,Long Branch,430000,43.589939,-79.545006,#404 - 3865 Lake Shore Blvd,Toronto
3923,Midtown Toronto,2858000,43.727768,-79.389908,238 LAWRENCE AVE E,Toronto
3924,Edenbridge - Humber Valley,1938000,43.672089,-79.516663,21 Bearwood Dr,Toronto
3925,Bayview Village,349900,43.768436,-79.377464,#311 - 701 Sheppard Ave,Toronto
3926,Trinity - Bellwoods,69000,43.654827,-79.415947,651 College St,Toronto
3927,Stockyards District,399900,43.677914,-79.467384,122 Turnberry Ave,Toronto
3928,Malvern,155000,43.803925,-79.216507,#701 - 8 Silverbell Grve,Toronto
3929,Jane and Finch,130000,43.748493,-79.505875,#103 - 235 Grandravine Dr,Toronto
3930,Scarborough Village,395900,43.74189,-79.213837,#210 - 1350 Kingston Rd,Toronto
3931,Mimico,699000,43.625542,-79.477242,#Wl02 - 80 Marine Parade Dr,Toronto
3932,York University Heights,339900,43.7747,-79.470566,#4 - 24 Martin Ross Ave,Toronto
3933,Agincourt,45000,43.788311,-79.268082,#393 - 4438 Sheppard Ave,Toronto
3934,Toronto,5880000,43.73769,-79.383606,50 Arjay Cres,Toronto
3935,Downtown,335000,43.638866,-79.398438,#1610 - 85 Queens Wharf Rd,Toronto
3936,Downtown,340000,43.638866,-79.398438,#2110 - 85 Queens Wharf Rd,Toronto
3937,Markham,688000,43.851192,-79.25351,#30 - 160 New Delhi Dr,Toronto
3938,Lambton,1150000,43.6656,-79.494537,3621 Dundas St,Toronto
3939,Rexdale,547800,43.745731,-79.605835,#7 - 30 Baywood Rd,Toronto
3940,Willowdale,726800,43.765842,-79.410057,#2609 - 35 Hollywood Ave,Toronto
3941,Armdale,300,43.830791,-79.24955,#B-203 - 833 Passmore Ave,Toronto
3942,Newtonbrook,429900,43.794613,-79.427216,#214 - 175 Hilda Ave,Toronto
3943,Islington - City Centre West,319900,43.64286,-79.527222,#303 - 8 Fieldway Rd,Toronto
3944,Little Portugal,265000,43.642391,-79.424736,#805 - 68 Abell St,Toronto
3945,Armdale,300,43.830791,-79.24955,#F-208 - 865 Passmore Ave,Toronto
