Index,AreaName,Price ($),lat,lng,Address,City
2601,St. Andrew - Windfields,3380000,43.753357,-79.384155,10 BERKINDALE DR,Toronto
2602,Swansea,348800,43.636173,-79.470757,#1714 - 105 The Queensway Ave,Toronto
2603,Mississauga,781000,43.616276,-79.595207,Bloor Street,Toronto
2604,Mississauga,292500,43.616276,-79.595207,Bloor Street,Toronto
2605,Brockton Village,1070000,43.648857,-79.433006,101 Sheridan  Avenue,Toronto
2606,Malvern,184900,43.794353,-79.237694,#413 - 5580 SHEPPARD AVE E,Toronto
2607,Rexdale,499900,43.713825,-79.543625,122 ALLENBY AVE,Toronto
2608,Midtown Toronto,929000,43.686466,-79.434563,384 WINONA DR,Toronto
2609,Willowdale,588000,43.772457,-79.445831,87 RED ROBIN WAY,Toronto
2610,Rexdale,788800,43.736721,-79.564117,1038 ALBION RD,Toronto
2611,Willowdale,333800,43.776028,-79.412056,#1612 - 18 SOMMERSET WAY,Toronto
2612,Malvern,125000,43.805328,-79.22023,#101 - 99 BLACKWELL AVE,Toronto
2613,Weston,85000,43.700554,-79.517197,1927 WESTON RD,Toronto
2614,Mimico,323000,43.622883,-79.481972,#716 - 2200 LAKE SHORE BLVD W,Toronto
2615,Lansing,1488000,43.761345,-79.426399,293 BURNETT AVE,Toronto
2616,Humber Summit,999900,43.753723,-79.575333,7 HATHOR CRES,Toronto
2617,Midtown Toronto,1599900,43.692017,-79.384277,235 HEATH ST E,Toronto
2618,Swansea,249500,43.636173,-79.470757,#3108 - 105 THE QUEENSWAY WAY,Toronto
2619,Downtown,469900,43.65234,-79.398193,#Ph11 - 270 SPADINA AVE,Toronto
2620,Downtown,384990,43.643246,-79.40126,#311 - 55 STEWART ST,Toronto
2621,Downtown,420000,43.659237,-79.382904,#90 - 384 YONGE ST S,Toronto
2622,Eglinton East,435000,43.746014,-79.232513,#306 - 21 NELSON ST,Toronto
2623,Palmerston - Little Italy,2795000,43.661678,-79.426277,901 BLOOR ST W,Toronto
2624,Dorset Park,197000,43.769417,-79.28241,#406 - 2 GLAMORGAN AVE,Toronto
2625,Scarborough Village,249900,43.751457,-79.204521,#1109 - 90 DALE AVE,Toronto
2626,Swansea,269900,43.636173,-79.470757,#407 - 105 THE QUEENSWAY AVE,Toronto
2627,Milliken,1278888,43.820484,-79.295128,3880 MIDLAND AVE,Toronto
2628,Downsview,599000,43.728088,-79.523758,207 TORBARRIE RD,Toronto
2629,Downtown,719000,43.667709,-79.386383,#704 - 75 ST NICHOLAS ST,Toronto
2630,Downtown,289900,43.659824,-79.362724,#302 - 225 SACKVILLE ST,Toronto
2631,Downtown,429999,43.644455,-79.376534,#2013 - 18 YONGE ST,Toronto
2632,Downtown,313900,43.65234,-79.398193,#302 - 270 SPADINA AVE,Toronto
2633,Entertainment District,519000,43.642269,-79.382805,#3215 - 30 GRAND TRUNK CRES,Toronto
2634,Mississauga,398500,43.616276,-79.595207,Bloor Street,Toronto
2635,Downtown,399666,43.665302,-79.389091,57  St Joseph  Street,Toronto
2636,Agincourt,389800,43.778069,-79.281731,#3410 - 125 VILLAGE GREEN SQ,Toronto
2637,Milliken,469900,43.811077,-79.279678,#90 - 20 BRIMWOOD BLVD,Toronto
2638,Mississauga,277000,43.616276,-79.595207,Bloor Street,Toronto
2639,Mississauga,221500,43.616276,-79.595207,Bloor Street,Toronto
2640,Humber Summit,159888,43.748459,-79.568283,#312 - 2825 ISLINGTON AVE,Toronto
2641,Bendale,749800,43.745861,-79.255096,42 BONNECHERE CRES,Toronto
2642,Lansing,1350000,43.758835,-79.423065,250 SHEPPARD AVE W,Toronto
2643,Don Valley Village,379000,43.791603,-79.354248,#905 - 3303 DON MILLS RD,Toronto
2644,Henry Farm,488000,43.774952,-79.33548,#Ph10 - 30 HERONS HILL WAY,Toronto
2645,Humberlea,649900,43.716888,-79.536499,60 WALSH AVE N,Toronto
2646,Bayview Village,339900,43.767746,-79.370918,#1715 - 121 MCMAHON DR,Toronto
2647,Jane and Finch,349900,43.764374,-79.49456,#1106 - 19 FOUR WINDS DR,Toronto
2648,Malvern,648888,43.810703,-79.234848,5 LIGHTHALL CRES,Toronto
2649,Don Mills,840000,43.747749,-79.348656,#A210 - 16 MALLARD RD,Toronto
2650,Don Valley Village,799000,43.793545,-79.3675,18 BEETHOVEN CRT,Toronto
2651,Newtonbrook,1578000,43.793461,-79.415253,47 NEWTON DR,Toronto
2652,Downtown,551900,43.65234,-79.398193,#307 - 270 SPADINA AVE,Toronto
2653,Downtown,2290000,43.648827,-79.385551,#5604 - 180 UNIVERSITY AVE,Toronto
2654,Little Italy,1500000,43.651821,-79.41523,41 BEATRICE ST,Toronto
2655,Downtown,499000,43.654732,-79.402016,241 AUGUSTA AVE,Toronto
2656,Playter Estates,2300000,43.677383,-79.358833,794 BROADVIEW AVE,Toronto
2657,Davenport,599000,43.670692,-79.450165,#62 - 50 TURNTABLE CRES,Toronto
2658,Downtown,70000,43.644173,-79.38942,300 FRONT ST W,Toronto
2659,Weston,588888,43.705643,-79.512566,129 Queens Dr,Toronto
2660,Rexdale,699900,43.724163,-79.573708,19 BOLGER PL,Toronto
2661,Humber Bay Shores,264900,43.627769,-79.478523,#304 - 2119 LAKE SHORE BLVD W,Toronto
2662,Humber Summit,159900,43.750095,-79.567474,#914 - 2835 ISLINGTON AVE,Toronto
2663,Flemingdon Park,239900,43.711529,-79.322899,#1709 - 60 PAVANE LINK WAY,Toronto
2664,Englemount - Lawrence,289000,43.722183,-79.432846,#308 - 35 SARANAC BLVD,Toronto
2665,Eglinton West,309900,43.691715,-79.468506,#701 - 2470 EGLINTON AVE W,Toronto
2666,Church and Wellesley,649000,43.667664,-79.380318,#Th78 - 86 GLOUCESTER ST,Toronto
2667,Willowdale,315000,43.757355,-79.409355,#211 - 18 HARRISON GARDEN BLVD,Toronto
2668,Newtonbrook,489888,43.79047,-79.44825,#1607 - 1101 STEELES AVE W,Toronto
2669,Scarborough Village,220000,43.745232,-79.212135,#406 - 3420 EGLINTON AVE E,Toronto
2670,Bayview Village,329900,43.768475,-79.381607,#301 - 650 SHEPPARD AVE E,Toronto
2671,Rockcliffe - Smythe,469900,43.676445,-79.505966,#1401 - 250 SCARLETT RD,Toronto
2672,L'Amoreaux,318000,43.806473,-79.335167,#206 A - 1038 MCNICOLL AVE,Toronto
2673,Agincourt,298888,43.779205,-79.281517,#2921 - 181 VILLAGE GREEN SQ,Toronto
2674,Agincourt,339000,43.778614,-79.281258,#501 - 151 VILLAGE GREEN SQ,Toronto
2675,Kennedy Park,339000,43.725407,-79.251518,#910 - 5 GREYSTONE WALK DR,Toronto
2676,Willowdale,699880,43.764893,-79.410446,#3806 - 18 SPRING GARDEN AVE,Toronto
2677,Toronto,329000,43.824078,-79.273773,#2014 - 80 ALTON TOWERS CIRC,Toronto
2678,Agincourt,369000,43.778069,-79.281731,#710 - 125 VILLAGE GREEN SQ,Toronto
2679,Islington - City Centre West,325000,43.639355,-79.536949,#412 - 5229 DUNDAS ST W,Toronto
2680,Islington - City Centre West,284500,43.643349,-79.558502,#242 B - 364 THE EAST MALL AVE,Toronto
2681,Milliken,188000,43.809711,-79.293976,#309 - 200 SILVER STAR BLVD,Toronto
2682,Rockcliffe - Smythe,519000,43.67659,-79.507599,#911 - 260 SCARLETT RD,Toronto
2683,Humber Bay Shores,515000,43.628979,-79.477852,#1509 - 2111 LAKE SHORE BLVD W,Toronto
2684,Etobicoke West Mall,259000,43.646812,-79.566681,#115 - 451 THE WEST MALL,Toronto
2685,Parkwoods - Donalda,334900,43.752785,-79.332695,#808 - 18 VALLEY WOODS RD,Toronto
2686,Willowdale,318800,43.757355,-79.409355,#1009 - 18 HARRISON GARDEN BLVD,Toronto
2687,Milliken,339000,43.800636,-79.30703,#207 - 25 SILVER SPRINGS BLVD,Toronto
2688,Bendale,279800,43.773582,-79.258919,#1508 - 50 BRIAN HARRISON WAY,Toronto
2689,Wexford - Maryvale,439888,43.748531,-79.286057,#1502 - 1328 BIRCHMOUNT RD,Toronto
2690,Islington - City Centre West,339900,43.64397,-79.528503,#2204 - 3 Michael Power Pl,Toronto
2691,Swansea,799999,43.636528,-79.470863,#119 - 107 THE QUEENSWAY AVE,Toronto
2692,Midtown Toronto,454800,43.670319,-79.394432,#1916 - 155 YORKVILLE AVE,Toronto
2693,Entertainment District,619900,43.641491,-79.382607,#902 - 19 GRAND TRUNK CRES,Toronto
2694,Midtown Toronto,789800,43.708694,-79.394318,#603 - 141 ROEHAMPTON AVE,Toronto
2695,Humber Bay Shores,1088000,43.631355,-79.474609,#4104 - 2045 Lake Shore Blvd,Toronto
2696,Thornhill,349000,43.830166,-79.467117,#2707 - 33 SHORE BREEZE DR,Toronto
2697,Midtown Toronto,2395000,43.673172,-79.389687,#103 - 32 DAVENPORT RD,Toronto
2698,Cliffside,579000,43.712502,-79.246597,2575 KINGSTON RD,Toronto
2699,Bendale,309800,43.772751,-79.260788,#3202 - 83 BOROUGH DR,Toronto
2700,Midtown Toronto,299900,43.672596,-79.388634,#709 - 8 SCOLLARD ST,Toronto
2701,Henry Farm,328800,43.774746,-79.336929,#1706 - 275 YORKLAND RD,Toronto
2702,Downtown,747888,43.668777,-79.383995,#4002 - 45 CHARLES ST,Toronto
2703,Downtown,379800,43.637386,-79.398201,#2903 - 38 DAN LECKIE WAY,Toronto
2704,Midtown Toronto,1549000,43.705547,-79.385895,401 HILLSDALE AVE E,Toronto
2705,Willowdale,659900,43.763882,-79.410576,#1814 - 30 GREENFIELD AVE,Toronto
2706,The Danforth,749000,43.684986,-79.308685,37 IONA AVE,Toronto
2707,Bayview Village,369000,43.765289,-79.382339,#2005 - 3 REAN DR,Toronto
2708,Steeles,358000,43.814705,-79.325653,#727 - 75 BAMBURGH CIRC,Toronto
2709,Downtown,58000,43.665749,-79.385513,#Parkin- 5 ST JOSEPH ST,Toronto
2710,Agincourt,380000,43.807129,-79.26754,#1602 - 5001 FINCH AVE E,Toronto
