,SCHOOL NAME,ADDRESS,POSTAL CODE,FSA,RATINGS,AVG HOME PRICES,HOME_LAT,HOME_LNG,SCHOOL_LAT,SCHOOL_LNG
0,Fleming,20 Littles Road,M1B 5B5,M1B,9.5,516127.0,43.80370847368422,-79.21783080000002,43.825423,-79.2788527
1,Iroquois,265 Chartland Boulevard South,M1S 2S6,M1S,9.0,477552.0,43.78675700000001,-79.27521095652172,43.8138055,-79.3279841
2,Beverly Glen,85 Beverly Glen Boulevard,M1W 1W4,M1W,9.2,519808.0,43.80468693650795,-79.31988807936511,43.7329066,-79.355948
3,Denlow,50 Denlow Boulevard,M3B 1P7,M3B,9.3,2256431.0,43.745367727272736,-79.3556286818182,43.6877097,-79.3836218
4,Withrow Avenue,25 Bain Avenue,M4K 1E5,M4K,9.0,1245190.0,43.67838155,-79.35071865,43.6551217,-79.3779644
5,Blythwood,2 Strathgowan Crescent,M4N 2Z5,M4N,9.1,2080118.0,43.72535921875,-79.38825099999997,43.6627747,-79.43992960000001
6,John Ross Robertson,130 Glengrove Avenue West,M4R 1P2,M4R,9.3,783480.0,43.7082318,-79.4025702,43.5993503,-79.509096
7,Whitney,119 Rosedale Heights Drive,M4T 1C7,M4T,9.5,1150980.0,43.689395000000005,-79.3923034,43.6595925,-79.5656999
8,Ossington/Old Orchard,380 Ossington Avenue,M6J 3A5,M6J,9.1,890931.0,43.64502022388063,-79.41962217910446,43.6321865,-79.57382090000002
9,Swansea,207 Windermere Avenue,M6S 3J9,M6S,9.1,738098.0,43.64324628169013,-79.47634643661975,43.68474,-79.5216143
10,Humber Valley Village,65 Hartfield Road,M9A 3E1,M9A,9.3,1809771.0,43.65682588235295,-79.52661482352941,43.6858705,-79.53707299999999
0,Prince of Peace,255 Alton Towers Circle,M1V 4E7,M1V,8.3,583646.0,43.81748539024393,-79.27977681707316,43.825423,-79.2788527
1,St Henry,100 Bamburgh Circle,M1W 3R3,M1W,8.3,519808.0,43.80468693650795,-79.31988807936511,43.8138055,-79.3279841
2,St Bonaventure,1340 Leslie Street,M3C 2K9,M3C,8.7,645781.0,43.72265325714286,-79.33333082857139,43.7329066,-79.355948
3,Our Lady of Perpetual Help,1 1/2 Garfield Avenue,M4T 1E6,M4T,8.6,1150980.0,43.689395000000005,-79.3923034,43.6877097,-79.3836218
4,St Michael's Choir,66 Bond St ,M5B 1X2,M5B,8.8,496430.0,43.65856933333335,-79.37964864444444,43.6551217,-79.3779644
5,St Sebastian,717 Brock Avenue,M6H 3P1,M6H,10.0,990385.0,43.664873083333326,-79.43950941666667,43.6627747,-79.43992960000001
6,St Josaphat,110 Tenth Street,M8V 3G1,M8V,8.3,543356.0,43.621380931972816,-79.48446919047619,43.5993503,-79.509096
7,Josyf Cardinal Slipyj,35 West Deane Park Drive,M9B 2R5,M9B,8.8,731393.0,43.6450644375,-79.54650595833333,43.6595925,-79.5656999
8,St Clement,4319 Bloor Street West,M9C 2A2,M9C,8.8,460065.0,43.63374415384616,-79.56839703846154,43.6321865,-79.57382090000002
9,St Demetrius,125 La Rose Avenue,M9P 1A6,M9P,8.4,812340.0,43.692649857142854,-79.5301802142857,43.68474,-79.5216143
10,Father Serra,111 Sun Row Drive,M9P 3J3,M9P,8.3,812340.0,43.692649857142854,-79.5301802142857,43.6858705,-79.53707299999999
