,SCHOOL NAME,ADDRESS,POSTAL CODE,FSA,RATINGS,AVG HOME PRICES,WEIGHTS,HOME_LAT,HOME_LNG,SCHOOL_LAT,SCHOOL_LNG
0,Eastview,20 Waldock Street,M1E 2E5,M1E,2.3,619287,4.46,43.77235703,-79.19302872,43.7590263,-79.1914443
1,West Hill,299 Morningside Avenue,M1E 3G1,M1E,3.2,619287,4.46,43.77235703,-79.19302872,43.7727696,-79.1866839
2,Joseph Brant,270 Manse Road,M1E 3V4,M1E,3.2,619287,4.46,43.77235703,-79.19302872,43.7669449,-79.1755888
3,Ionview,90 Ionview Road,M1K 2Z9,M1K,2,632037,4.55,43.73011456,-79.26311169,43.7374809,-79.2743163
4,Highland Heights,35 Glendower Circuit,M1T 2Z3,M1T,1.8,540841,3.90,43.78510361,-79.29805161,43.7944968,-79.3003398
5,Chester Le,201 Chester Le Boulevard,M1W 2K7,M1W,3.2,519808,3.74,43.80468694,-79.31988808,43.7990192,-79.331461
6,R J Lang,227 Drewry Ave ,M2M 1E3,M2M,1.9,1103203,7.95,43.78638715,-79.4137065,43.7837926,-79.4266087
7,First Nations School of Toronto,935 Dundas St E,M4M 1R4,M4M,1.6,822616,5.93,43.66390413,-79.34101308,43.6620863,-79.3486896
8,F H Miller,300 Caledonia Road,M6E 4T5,M6E,0.7,948624,6.83,43.68725464,-79.44956657,43.6832832,-79.4583028
9,Parkdale,78 Seaforth Avenue,M6K 3L2,M6K,2.8,515311,3.71,43.63935073,-79.42400955,43.6429546,-79.4369739
0,Eastview,20 Waldock Street,M1E 2E5,M1E,2.3,619287,4.46,43.77235703,-79.19302872,43.7590263,-79.1914443
1,West Hill,299 Morningside Avenue,M1E 3G1,M1E,3.2,619287,4.46,43.77235703,-79.19302872,43.7727696,-79.1866839
2,Joseph Brant,270 Manse Road,M1E 3V4,M1E,3.2,619287,4.46,43.77235703,-79.19302872,43.7669449,-79.1755888
3,Ionview,90 Ionview Road,M1K 2Z9,M1K,2,632037,4.55,43.73011456,-79.26311169,43.7374809,-79.2743163
4,Highland Heights,35 Glendower Circuit,M1T 2Z3,M1T,1.8,540841,3.90,43.78510361,-79.29805161,43.7944968,-79.3003398
5,Chester Le,201 Chester Le Boulevard,M1W 2K7,M1W,3.2,519808,3.74,43.80468694,-79.31988808,43.7990192,-79.331461
6,R J Lang,227 Drewry Ave ,M2M 1E3,M2M,1.9,1103203,7.95,43.78638715,-79.4137065,43.7837926,-79.4266087
7,First Nations School of Toronto,935 Dundas St E,M4M 1R4,M4M,1.6,822616,5.93,43.66390413,-79.34101308,43.6620863,-79.3486896
8,F H Miller,300 Caledonia Road,M6E 4T5,M6E,0.7,948624,6.83,43.68725464,-79.44956657,43.6832832,-79.4583028
9,Parkdale,78 Seaforth Avenue,M6K 3L2,M6K,2.8,515311,3.71,43.63935073,-79.42400955,43.6429546,-79.4369739
