,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
0,East Danforth,49900,43.682693,-79.325851,1475 Danforth Ave,Toronto,M4J 1N5,M4J
1,Downtown,379880,43.647514,-79.3927,#2705 - 101 PETER ST,Toronto,M5V 0G6,M5V
2,Woburn,419900,43.773827,-79.250023,#2308 - 88 Grangeway Ave,Toronto,M1H 0A2,M1H
3,The Junction,49900,43.669209,-79.481644,2411 St Clair Ave,Toronto,M6N 1K9,M6N
4,Cliffcrest,4500000,43.725761,-79.218529,25 Meadowcliffe Dr,Toronto,M1M 2X9,M1M
6,Lansing,660000,43.760517,-79.411743,#2002 - 11 BOGERT AVE,Toronto,M2N 0H3,M2N
7,Mimico,369000,43.62001,-79.483086,#104 - 2261 Lake Shore Blvd,Toronto,M8V 3X1,M8V
8,Bathurst Manor,780000,43.753391,-79.448715,#Th2 - 784 Sheppard Ave,Toronto,M3H 2T1,M3H
9,The Queensway,549900,43.624573,-79.511681,#202 - 51 Lady Bank Rd,Toronto,M8Z 1N7,M8Z
10,Lawrence Heights,374900,43.714592,-79.452911,#1023 - 800 Lawrence Ave,Toronto,M6A 0B1,M6A
11,York University Heights,730000,43.781918,-79.492439,#5 -6 - 2899 STEELES AVE W,Toronto,M3J 3A1,M3J
12,Downtown,268888,43.650963,-79.397903,#261 - 222 SPADINA AVE,Toronto,M5T 3B3,M5T
13,Downtown,578000,43.667324,-79.372574,#10 - 225 Wellesley St,Toronto,M4X 1X8,M4X
14,Willowdale,449000,43.760181,-79.408218,#711 - 35 BALES AVE,Toronto,M2N 7L7,M2N
15,Willowdale,339000,43.777355,-79.41275,#915 - 60 BYNG AVE,Toronto,M2N 7K3,M2N
16,Willowdale,325000,43.773746,-79.415512,#1903 - 68 CANTERBURY PL,Toronto,M2N 1Y7,M2N
17,York University Heights,88000,43.768021,-79.476097,#4 - 1126 Finch Ave,Toronto,M3J 3J6,M3J
18,Woburn,2500000,43.776733,-79.242828,1120 Bellamy Rd,Toronto,M1H 1H3,M1H
20,Downtown,175000,43.655773,-79.358704,44 Sumach St,Toronto,M5A 3J7,M5A
21,Long Branch,430000,43.589939,-79.545006,#404 - 3865 Lake Shore Blvd,Toronto,M8W 0A4,M8W
22,Midtown Toronto,2858000,43.727768,-79.389908,238 LAWRENCE AVE E,Toronto,M4N 1T2,M4N
23,Edenbridge - Humber Valley,1938000,43.672089,-79.516663,21 Bearwood Dr,Toronto,M9A 4G5,M9A
24,Bayview Village,349900,43.768436,-79.377464,#311 - 701 Sheppard Ave,Toronto,M2K 2Z3,M2K
25,Trinity - Bellwoods,69000,43.654827,-79.415947,651 College St,Toronto,M6G 1B7,M6G
26,Stockyards District,399900,43.677914,-79.467384,122 Turnberry Ave,Toronto,M6N 1R1,M6N
27,Malvern,155000,43.803925,-79.216507,#701 - 8 Silverbell Grve,Toronto,M1B 2L7,M1B
28,Jane and Finch,130000,43.748493,-79.505875,#103 - 235 Grandravine Dr,Toronto,M3N 1J2,M3N
29,Scarborough Village,395900,43.74189,-79.213837,#210 - 1350 Kingston Rd,Toronto,M1M 1R9,M1M
30,Mimico,699000,43.625542,-79.477242,#Wl02 - 80 Marine Parade Dr,Toronto,M8V 0A3,M8V
31,York University Heights,339900,43.7747,-79.470566,#4 - 24 Martin Ross Ave,Toronto,M3H 5S4,M3H
32,Agincourt,45000,43.788311,-79.268082,#393 - 4438 Sheppard Ave,Toronto,M1S 1V2,M1S
33,Toronto,5880000,43.73769,-79.383606,50 Arjay Cres,Toronto,M2L 1C7,M2L
34,Downtown,335000,43.638866,-79.398438,#1610 - 85 Queens Wharf Rd,Toronto,M5V 1A9,M5V
35,Downtown,340000,43.638866,-79.398438,#2110 - 85 Queens Wharf Rd,Toronto,M5V 1A9,M5V
37,Lambton,1150000,43.6656,-79.494537,3621 Dundas St,Toronto,M6S 2T2,M6S
38,Rexdale,547800,43.745731,-79.605835,#7 - 30 Baywood Rd,Toronto,M9V 3Y8,M9V
39,Willowdale,726800,43.765842,-79.410057,#2609 - 35 Hollywood Ave,Toronto,M2N 0A9,M2N
