,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
0,St. Andrew - Windfields,3380000,43.753357,-79.384155,10 BERKINDALE DR,Toronto,M2L 1Z5,M2L
1,Swansea,348800,43.636173,-79.470757,#1714 - 105 The Queensway Ave,Toronto,M6S 5B5,M6S
4,Brockton Village,1070000,43.648857,-79.433006,101 Sheridan  Avenue,Toronto,M6K 2G8,M6K
5,Malvern,184900,43.794353,-79.237694,#413 - 5580 SHEPPARD AVE E,Toronto,M1B 2L3,M1B
6,Rexdale,499900,43.713825,-79.543625,122 ALLENBY AVE,Toronto,M9W 1T3,M9W
7,Midtown Toronto,929000,43.686466,-79.434563,384 WINONA DR,Toronto,M6C 1K9,M6C
8,Willowdale,588000,43.772457,-79.445831,87 RED ROBIN WAY,Toronto,M2R 3K6,M2R
9,Rexdale,788800,43.736721,-79.564117,1038 ALBION RD,Toronto,M9V 1A7,M9V
10,Willowdale,333800,43.776028,-79.412056,#1612 - 18 SOMMERSET WAY,Toronto,M2N,M2N
11,Malvern,125000,43.805328,-79.22023,#101 - 99 BLACKWELL AVE,Toronto,M1B 3R5,M1B
12,Weston,85000,43.700554,-79.517197,1927 WESTON RD,Toronto,M9N 1W7,M9N
13,Mimico,323000,43.622883,-79.481972,#716 - 2200 LAKE SHORE BLVD W,Toronto,M8V 1A4,M8V
14,Lansing,1488000,43.761345,-79.426399,293 BURNETT AVE,Toronto,M2N 1W2,M2N
15,Humber Summit,999900,43.753723,-79.575333,7 HATHOR CRES,Toronto,M9L 1C1,M9L
16,Midtown Toronto,1599900,43.692017,-79.384277,235 HEATH ST E,Toronto,M4T 1T1,M4T
17,Swansea,249500,43.636173,-79.470757,#3108 - 105 THE QUEENSWAY WAY,Toronto,M6S 5B5,M6S
18,Downtown,469900,43.65234,-79.398193,#Ph11 - 270 SPADINA AVE,Toronto,M5T 3A5,M5T
19,Downtown,384990,43.643246,-79.40126,#311 - 55 STEWART ST,Toronto,M5V 2V8,M5V
20,Downtown,420000,43.659237,-79.382904,#90 - 384 YONGE ST S,Toronto,M5B 1S9,M5B
