,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
284,Port Hope,497250,43.960762,-78.323914,#207 - 55 ANN O&#39;REILLY RD,Toronto,L1A 3V5,L1A
996,Port Hope,722000,43.960762,-78.323914,#Ph63 - 60 ANN O&#39;REILLY RD,Toronto,L1A 3V5,L1A
361,Toronto,299000,43.761047,-79.410904,#335 - 4750 YONGE ST,Toronto,L4C 0M5,L4C
548,Malvern,498000,43.792122,-79.235725,#508 - 28 Rosebank Dr,Toronto,M1B,M1B
985,Rouge,469900,43.796883,-79.154869,6 HUXTABLE LANE,Toronto,M1B 0A3,M1B
517,Rouge,559999,43.807819,-79.180832,198 Rouge River Dr,Toronto,M1B 0A8,M1B
131,Rouge,3599000,43.806259,-79.158813,61 Boydwood Lane,Toronto,M1B 1H2,M1B
26,Malvern,338000,43.805099,-79.21196,#18 - 170 Wickson Tr,Toronto,M1B 1M4,M1B
657,Malvern,419990,43.79277,-79.229561,#134 - 150 Burrows Hall Blvd,Toronto,M1B 1M6,M1B
228,Malvern,549000,43.81366,-79.234749,90 CRITTENDEN SQ,Toronto,M1B 1V1,M1B
921,Malvern,649000,43.810703,-79.234848,5 LIGHTHALL CRES,Toronto,M1B 1V4,M1B
543,Malvern,539000,43.808029,-79.229721,58 Horseley Hill Dr,Toronto,M1B 1W5,M1B
460,Rouge,465000,43.80365,-79.172356,99 Red River Cres,Toronto,M1B 1Z5,M1B
463,Rouge,439000,43.802834,-79.172585,9 Red River Cres,Toronto,M1B 1Z5,M1B
441,Malvern,379900,43.792198,-79.232147,#92 - 100 Burrows Hall Blvd,Toronto,M1B 1Z7,M1B
968,Malvern,148000,43.803925,-79.216507,#504 - 8 SILVER BELL GRVE,Toronto,M1B 2L7,M1B
1247,Malvern,114900,43.803925,-79.216507,#105 - 8 Silverbell Grve,Toronto,M1B 2L7,M1B
925,Malvern,369900,43.796494,-79.237122,#20 - 50 VERNE CRES,Toronto,M1B 2X1,M1B
462,Rouge,599000,43.800362,-79.177345,10 Sudbury Hall Dr,Toronto,M1B 3H6,M1B
1071,Malvern,144900,43.806709,-79.217133,#410 - 15 Sewells Rd,Toronto,M1B 3V7,M1B
118,Malvern,849000,43.815105,-79.217415,42 Rovinelli Rd,Toronto,M1B 4L2,M1B
965,Malvern,899000,43.815502,-79.216034,18 MIDDLEPORT CRES,Toronto,M1B 4L4,M1B
498,Malvern,571300,43.814308,-79.215759,1 ROVINELLI RD,Toronto,M1B 4L6,M1B
632,Malvern,269000,43.809708,-79.221169,#1002 - 400 Mclevin Ave,Toronto,M1B 4Z8,M1B
561,Malvern,799000,43.819778,-79.211075,51 Old Finch Ave,Toronto,M1B 5J1,M1B
1261,Malvern,369500,43.791836,-79.237404,#17M - 8 Rosebank Dr,Toronto,M1B 5Z3,M1B
766,Malvern,399000,43.793896,-79.234688,#311 - 1088 PROGRESS AVE,Toronto,M1B 5Z6,M1B
1016,Malvern,289000,43.804581,-79.227768,#6 - 200 MCLEVIN AVE,Toronto,M1B 6A2,M1B
975,Malvern,619000,43.815937,-79.223,18 SWALLOWTAIL RD,Toronto,M1B 6B1,M1B
1152,Malvern,599900,43.807312,-79.227303,38 Pinery Tr,Toronto,M1B 6C2,M1B
44,Malvern,105,43.807106,-79.227829,#9 - 42 Pinery Tr,Toronto,M1B 6K2,M1B
291,Rouge,899900,43.808025,-79.189018,9 ANTELOPE DR,Toronto,M1B 6K4,M1B
407,Highland Creek,1174900,43.791302,-79.158119,#Block - 6443 KINGSTON RD,Toronto,M1C 1L2,M1C
911,Port Union,999900,43.790985,-79.152229,361 CENTENNIAL RD,Toronto,M1C 2A3,M1C
542,Port Union,649900,43.782429,-79.145828,27 Conference Blvd,Toronto,M1C 2E1,M1C
1097,Rouge,699000,43.792217,-79.134521,326 Jaybell Grve,Toronto,M1C 2X4,M1C
338,Highland Creek,734900,43.791893,-79.180328,42 PARADE SQ,Toronto,M1C 3T6,M1C
1053,Rouge,674900,43.783424,-79.131348,21 Wheeling Dr,Toronto,M1C 3X2,M1C
950,Rouge,650000,43.782482,-79.131035,140 MABERLEY CRES,Toronto,M1C 3X7,M1C
1059,Highland Creek,999999,43.788246,-79.17627,64 Windrush Tr,Toronto,M1C 3X9,M1C
339,Highland Creek,699900,43.790642,-79.176041,103 FISHERY RD,Toronto,M1C 4H5,M1C
1051,Highland Creek,699900,43.790642,-79.176041,103 Fishery Rd,Toronto,M1C 4H5,M1C
1146,Highland Creek,719888,43.796654,-79.179451,17 Grover Dr,Toronto,M1C 4K8,M1C
1099,Port Union,529800,43.794605,-79.14389,138 Andona Cres,Toronto,M1C 5A1,M1C
241,Port Union,756900,43.777721,-79.137276,31 VESSEL CRES,Toronto,M1C 5K7,M1C
1244,Port Union,724900,43.776131,-79.13604,49 Wharfside Lane,Toronto,M1C 5K8,M1C
479,West Hill,469500,43.765007,-79.19281,60 IGNATIUS LANE,Toronto,M1E 0A2,M1E
512,Guildwood,715000,43.743652,-79.20015,229 Catalina Dr,Toronto,M1E 1B8,M1E
329,West Hill,599900,43.758068,-79.191078,97 CULTRA SQ,Toronto,M1E 2E1,M1E
200,West Hill,669000,43.760899,-79.191841,24 CORONATION DR,Toronto,M1E 2H1,M1E
1092,West Hill,669900,43.760811,-79.18306,4 Dubarry Ave,Toronto,M1E 3C5,M1E
1138,West Hill,598800,43.773823,-79.188538,320 Morningside Ave,Toronto,M1E 3E7,M1E
1251,West Hill,175000,43.775818,-79.182098,##5-213 - 50 Old Kingston Rd,Toronto,M1E 3J5,M1E
1080,West Hill,550000,43.774227,-79.187302,24 Amiens Rd,Toronto,M1E 3S6,M1E
1087,West Hill,588000,43.774265,-79.181625,4609 Kingston Rd,Toronto,M1E 3T5,M1E
1273,Morningside,39000,43.784046,-79.204781,2856 Ellesmere Rd,Toronto,M1E 4B8,M1E
