SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA,RANK (OUT OF 3046),RATINGS
All Saints,1435 Royal York Road,Toronto,M9P 3A7,M9P,495.0,7.6
Annunciation,65 Avonwick Gate,Toronto,M3A 2M8,M3A,1844.0,5.7
St Agatha,49 Cathedral Bluffs Drive,Scarborough,M1M 2T6,M1M,1470.0,6.2
St Agnes,280 Otonabee Avenue,Willowdale,M2M 2T2,M2M,1322.0,6.4
St Aidan,3521 Finch Avenue East,Agincourt,M1W 2S2,M1W,1921.0,5.6
St Albert,1125 Midland Avenue,Scarborough,M1K 4H2,M1K,2680.0,3.9
St Alphonsus,60 Atlas Avenue,Toronto,M6C 3N9,M6C,2400.0,4.7
St Ambrose,20 Coules Court,Etobicoke,M8W 2N9,M8W,559.0,7.5
St Andrew,2533 Kipling Avenue,Etobicoke,M9V 3A8,M9V,2361.0,4.8
St Angela,220 Mount Olive Drive,Rexdale,M9V 3Z5,M9V,2622.0,4.1
St Anselm,182 Bessborough Drive ,East York,M4G 3J9,M4G,740.0,7.2
St Anthony,130 Shanly Street,Toronto,M6H 1L9,M6H,2210.0,5.1
St Antoine Daniel,160 Finch Avenue West,Toronto,M2N 2J2,M2N,2100.0,5.3
St Augustine,98 Shoreham Drive,Toronto,M3N 1S9,M3N,1921.0,5.6
Blessed Pier Giorgio Frassati,8 Seasons Drive,Scarborough,M1X 1X4,M1X,622.0,7.4
Blessed Sacrament,24 Bedford Park Avenue,Toronto,M5M 1H9,M5M,559.0,7.5
Blessed Trinity,3205 Bayview Avenue,Toronto,M2K 1G3,M2K,2560.0,4.3
St Barbara,25 Janray Drive,Scarborough,M1G 1Y2,M1G,2652.0,4.0
St Barnabas,30 Washburn Way,Scarborough,M1B 1H3,M1B,1921.0,5.6
St Bede,521 Sewells Road,Scarborough,M1B 5H3,M1B,2100.0,5.3
St Benedict,2202 Kipling Avenue,Toronto,M9W 4K9,M9W,1246.0,6.5
St Bernard,12 Duckworth Street,Toronto,M6M 4W4,M6M,2315.0,4.9
St Bonaventure,1340 Leslie Street,Toronto,M3C 2K9,M3C,102.0,8.7
St Boniface,20 Markanna Drive,Scarborough,M1M 2J1,M1M,1844.0,5.7
St Brendan,186 Centennial Road,Toronto,M1C 1Z9,M1C,388.0,7.8
St Brigid,50 Woodmount Avenue,Toronto,M4C 3X9,M4C,388.0,7.8
Canadian Martyrs,520 Plains Road,Toronto,M4C 2Z1,M4C,947.0,6.9
Cardinal Leger,600 Morrish Road,Toronto,M1C 4Y1,M1C,1400.0,6.3
St Catherine,30 Roanoke Road,Toronto,M3A 1E9,M3A,2529.0,4.4
St Cecilia,355 Annette Street,Toronto,M6P 1R3,M6P,1024.0,6.8
St Charles,50 Claver Avenue,Toronto,M6B 2W1,M6B,2315.0,4.9
St Charles Garnier,20 Stong Court,Toronto,M3N 2X9,M3N,2904.0,2.8
St Clare,124 Northcliffe Boulevard,Toronto,M6E 3K4,M6E,1171.0,6.6
St Clement,4319 Bloor Street West,Etobicoke,M9C 2A2,M9C,84.0,8.8
St Columba,10 John Tabor Trail,Scarborough,M1B 1M9,M1B,2711.0,3.8
St Conrad,5 Exbury Road,Toronto,M3M 0A8,M3M,1984.0,5.5
Sts Cosmas and Damian,111 Danesbury Avenue,Toronto,M6B 3L3,M6B,446.0,7.7
D'Arcy McGee,20 Bansley Avenue,Toronto,M6E 2A2,M6E,2622.0,4.1
St Demetrius,125 La Rose Avenue,Toronto,M9P 1A6,M9P,163.0,8.4
St Denis,67 Balsam Avenue,Toronto,M4E 3B8,M4E,740.0,7.2
St Dominic Savio,50 Tideswell Blvd.,Scarborough,M1B 5X3,M1B,1470.0,6.2
St Dorothy,155 John Garland Blvd,Toronto,M9V 1N7,M9V,2932.0,2.5
St Dunstan,14 Pharmacy Avenue,Scarborough,M1L 3E4,M1L,2210.0,5.1
Epiphany of our Lord,3150 Pharmacy Avenue,Toronto,M1W 1J5,M1W,2932.0,2.5
St Edmund Campion,30 Highcastle Road West Hill,Toronto,M1E 4N1,M1E,1470.0,6.2
St Edward,1 Botham Road,Toronto,M2N 2J6,M2N,865.0,7.0
St Elizabeth,5 Redcar Avenue,Toronto,M9B 1J8,M9B,1769.0,5.8
St Elizabeth Seton,25 Havenview Road,Scarborough,M1S 3A4,M1S,2680.0,3.9
St Eugene,30 WestRoyal Road,Toronto,M9P 2C3,M9P,947.0,6.9
Father Serra,111 Sun Row Drive,Toronto,M9P 3J3,M9P,194.0,8.3
