,AreaName,Price ($),lat,lng,Address,City
0,Richview,999888,43.679882,-79.54426600000001,86 Waterford Dr,Toronto
4,Downtown,362000,43.651478000000004,-79.36811800000001,#1409 - 230 King St,Toronto
5,Old East York,1488000,43.686375,-79.328918,254A Monarch Park Ave,Toronto
6,Fairbank,25,43.691193,-79.461662,532 Caledonia Rd,Toronto
11,Wallace Emerson,113,43.664101,-79.439751,47 Armstrong Ave,Toronto
12,Old East York,599900,43.697842,-79.317368,3 Bracebridge Ave,Toronto
13,Parkdale,97,43.635578,-79.441345,#808 - 2167 Lake Shore Blvd,Toronto
14,Parkdale,49,43.635578,-79.441345,#2706 - 2167 Lake Shore Blvd,Toronto
15,Downtown,805900,43.666794,-79.388756,#710 - 1080 Bay St,Toronto
16,Midtown Toronto,97,43.662872,-79.423233,#A - 753 Shaw St,Toronto
17,Dorset Park,549900,43.749598999999996,-79.270844,160 Jenkinson Way,Toronto
18,Richview,850000,43.692314,-79.552635,40 Hawthorne Rd,Toronto
19,Downtown,1348000,43.642578,-79.3769,#4905 - 16 Harbour St,Toronto
20,Hillcrest Village,129,43.799479999999996,-79.357445,166 Mcnicoll Ave,Toronto
21,Morningside,675000,43.788639,-79.207932,430 Military Tr,Toronto
22,St. Andrew - Windfields,113,43.759003,-79.392075,67 Montressor Dr,Toronto
23,Bayview Woods - Steeles,49,43.799358000000005,-79.377914,46 Bruce Farm Dr,Toronto
24,Agincourt,49,43.807091,-79.26553299999999,#1215 - 2627 Mccowan Rd,Toronto
25,St. Clair West Village,25,43.68227,-79.44339000000001,247 Westmount Ave,Toronto
26,Ionview,499900,43.740097,-79.273987,31 Yorkshire Rd,Toronto
27,Kennedy Park,599000,43.733814,-79.25,34 Ordway Rd,Toronto
28,Rexdale,549900,43.726189,-79.582047,47 Waterbeach Cres,Toronto
29,Tam O'Shanter,698000,43.774623999999996,-79.298141,2 Moraine Hill Dr,Toronto
30,Woburn,145,43.769413,-79.21145600000001,11 Mid Pines Rd,Toronto
31,Humber Heights - Westmount,25,43.68417,-79.516685,#1002 - 61 Richview Rd,Toronto
32,Tam O'Shanter - Sullivan,145,43.772118,-79.309311,20 Shrewsbury Sq,Toronto
33,Malvern,338000,43.805099,-79.21195999999999,#18 - 170 Wickson Tr,Toronto
34,Don Valley Village,699800,43.792187,-79.365669,6 Willesden Rd,Toronto
35,Downtown,325000,43.650372,-79.382347,#2705 - 70 Temperance St,Toronto
36,Milliken,25,43.821087,-79.314796,37 Chapel Park Sq,Toronto
37,Wilson Heights,1149000,43.734875,-79.441017,49 Cadillac Ave,Toronto
38,Willowdale,25,43.757698,-79.409042,#711 - 16 Harrison Garden Blvd,Toronto
39,Downtown,97,43.6395,-79.393425,#3711 - 11 Brunel Crt,Toronto
40,Wexford - Maryvale,749900,43.742484999999995,-79.296707,4 Danube Dr,Toronto
41,Willowdale,419000,43.779987,-79.412735,#1209 - 35 Finch Ave,Toronto
68,Mimico,749000,43.609004999999996,-79.496078,9 Struthers St,Toronto
69,Wexford - Maryvale,649900,43.763866,-79.312263,1574 Pharmacy Ave,Toronto
70,Richview,595500,43.687061,-79.571083,26 Waterbury Dr,Toronto
71,Newtonbrook,145,43.787003000000006,-79.441383,44 Dewlane Dr,Toronto
72,Downtown,312000,43.666897,-79.389038,#3010 - 65 St  Mary St,Toronto
73,Agincourt,709900,43.809810999999996,-79.263359,1 Silbury Dr,Toronto
74,Dorset Park,599900,43.755790999999995,-79.28788,1465A Birchmount Rd,Toronto
75,Rexdale,25,43.733596999999996,-79.608871,85 Autumn Glen Circ,Toronto
76,Princess Margaret,1049000,43.666405,-79.553543,143 Princess Margaret Blvd,Toronto
77,Malvern,105,43.807106,-79.227829,#9 - 42 Pinery Tr,Toronto
78,Nortown,2888000,43.733734000000005,-79.425026,175 Haddington Ave,Toronto
79,Flemingdon Park,279900,43.717915000000005,-79.326309,## 911 - 5 Shady Gfwy,Toronto
80,Willowdale,299900,43.757698,-79.409042,#1805 - 16 Harrison Garden Blvd,Toronto
81,The Beach,1929000,43.668091,-79.301514,68 Kenilworth Ave,Toronto
82,Niagara,399900,43.639946,-79.416664,#1505 - 125 Western Battery Rd,Toronto
83,Woburn,25,43.759617,-79.206642,110 Kirker Ave,Toronto
84,Willowdale,3988000,43.774734,-79.40568499999999,138 Mckee Ave,Toronto
85,Downtown,548000,43.645641,-79.39295200000001,#2403 - 375 King St,Toronto
86,Midtown Toronto,5288000,43.691134999999996,-79.415573,22 Strathearn Blvd,Toronto
87,Bridlewood,145,43.796768,-79.315636,5051 Finch Ave,Toronto
88,Mimico,309000,43.62421,-79.489449,#406 - 300 Manitoba St,Toronto
89,Niagara,369000,43.636837,-79.406052,#1901 - 231 Fort York Blvd,Toronto
90,Liberty Village,420000,43.638054,-79.41481800000001,#1010 - 65 East Liberty St,Toronto
91,Downtown,33,43.640057,-79.393967,#3706 - 15 Fort York Blvd,Toronto
92,Bayview Village,429000,43.766094,-79.385582,#203 - 17 Kenaston Gdns,Toronto
